player id,position,team,gw1 points,gw2 points,gw3 points,gw4 points,gw5 points,gw6 points,select percentage,ict index,top players select %,win,draw,lose,gw7 points
228,FWD,11,7,1,1,0,0,1,1.940154831,0.4,0.000500125,6.69,4.24,1.55,1
229,DEF,11,7,6,2,6,12,1,16.63431946,2.1,0.023005751,6.69,4.24,1.55,1
230,MID,11,3,8,5,8,8,2,2.590396131,5.3,0.005626407,6.69,4.24,1.55,7
231,GK,11,7,8,2,9,7,1,8.545084201,1.9,0.009627407,6.69,4.24,1.55,1
232,MID,11,1,0,2,7,3,5,0.932408027,3.8,0,6.69,4.24,1.55,1
233,MID,11,17,3,10,8,12,7,58.45591291,15.7,0.995373843,6.69,4.24,1.55,13
234,DEF,11,0,0,2,7,0,3,1.910076386,2.2,0.006626657,6.69,4.24,1.55,1
235,FWD,11,0,0,0,0,1,0,1.086664085,0,0.000125031,6.69,4.24,1.55,0
236,MID,11,0,0,0,0,0,0,0.055187408,0,0,6.69,4.24,1.55,0
237,DEF,11,6,12,4,12,0,1,23.21998911,0,0.559764941,6.69,4.24,1.55,0
238,DEF,11,0,1,0,0,0,0,0.50800473,0.2,0,6.69,4.24,1.55,1
239,MID,11,3,3,0,1,6,0,0.19860096,0,0.000125031,6.69,4.24,1.55,0
240,MID,11,8,8,1,3,3,7,17.49946114,2.5,0.325456364,6.69,4.24,1.55,2
241,DEF,11,0,0,0,0,0,0,0.184441502,0,0,6.69,4.24,1.55,0
242,GK,11,0,0,0,0,0,0,0.100530962,0,0,6.69,4.24,1.55,0
243,DEF,11,0,0,0,0,6,0,1.190000783,0,0.000250063,6.69,4.24,1.55,0
244,MID,11,0,0,0,0,1,8,0.170103714,3.6,0.000750188,6.69,4.24,1.55,7
245,DEF,11,6,11,1,0,5,0,17.51132608,0,0.096274069,6.69,4.24,1.55,0
246,DEF,11,0,0,0,0,0,0,0.754457762,0,0.001125281,6.69,4.24,1.55,0
247,DEF,11,0,0,0,0,0,0,0.032361078,0,0,6.69,4.24,1.55,0
248,DEF,11,0,0,0,0,0,0,0.159356317,0,0,6.69,4.24,1.55,0
248,DEF,17,0,0,0,0,0,0,0.227549977,0,0.006376594,6.69,4.24,1.55,0
