Name,id,gw1,gw2,gw3,gw4,gw5,gw6,gw7,gw8,gw9,gw10,gw11,gw12,gw13,gw14,gw15,gw16,gw17,gw18,gw19,gw20,gw21,gw22,gw23,gw24,gw25,gw26,gw27,gw28,gw29,gw30,gw31,gw32,gw33,gw34,gw35,gw36,gw37,gw38,gw39,gw40,gw41,gw42,gw43,gw44,gw45,gw46,gw47,gw48,gw49
Jamie Vardy,224,13,2,17,2,0,7,14,4,2,5,8,13,2,12,5,1,5,0,4,0,0,0,1,6,5,4,2,13,0,2,2,10,2,2,7,0,2,13,5,2,12,2,8,11,8,8,1,1,2
Dennis Praet,225,6,8,2,0,3,1,2,6,1,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Domingos Barbosa Pereira,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,2,2,2,2,1,0,1,3,0,0,0,1,0,0,0,12,-1,4,0,1,0,0,1,2,0,2
Daniel Amartey,227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,1,3,10,0,0,0,0,0,0,0,0,0,-1,0,6,0,2,0,0,0,0,1,2,0,1
Youri Tielemans,228,3,2,6,2,1,2,15,3,2,2,2,3,2,3,3,1,7,0,15,10,2,3,3,2,2,8,4,3,0,2,2,3,2,2,7,0,2,2,3,7,2,2,5,7,1,10,10,2,2
Ayoze Pérez,229,3,2,0,2,1,0,0,0,0,0,9,3,1,0,1,2,0,0,2,2,2,3,3,1,0,0,0,8,0,2,0,1,1,1,6,0,1,1,3,-2,0,0,0,0,0,7,1,0,0
Demarai Gray,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,7,2,6,2,2,5,2,3
James Maddison,231,1,1,10,0,1,2,4,3,2,2,4,16,2,3,4,0,10,0,17,2,5,11,2,8,9,0,0,0,0,1,0,3,2,2,3,0,1,2,3,2,2,2,1,1,1,2,8,2,1
Kelechi Iheanacho,233,0,0,1,1,2,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,6,2,0,0,11,9,17,0,2,13,6,12,5,9,0,6,2,1,1,1,1,1,4,9,5,2,1,0
Hamza Choudhury,234,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Harvey Barnes,235,3,13,2,2,2,3,8,1,2,6,0,1,2,3,7,8,2,0,15,6,8,3,3,12,13,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,1,4,0,0,1,10
Wilfred Ndidi,236,3,2,0,0,0,0,0,0,0,0,1,3,3,2,1,0,2,0,14,1,0,0,0,8,1,9,2,6,0,1,1,3,2,2,4,0,6,2,3,2,2,2,1,2,0,0,0,0,1
Filip Benkovic,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Çaglar Söyüncü,238,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,6,5,2,2,3,2,6,0,0,0,6,2,2,11,0,1,0,6,0,2,1,1,1,1,7,1,1,2
James Justin,239,9,7,1,1,2,6,2,6,0,1,2,11,1,8,1,2,1,0,14,1,1,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
